Frame,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
32,7.842649,2.627768,-1.786325,-1.657115,6.085595,-0.5313848,-1.663256,0.4278649,4.533501,29.80296,0.9176432,0.7907755,-1.352842,3.058336,-0.03280742,-3.430617,2.992012,2.347938,0.6793333,-1.11639,0.5935163,0.5814018,25.00615,-0.2030227,2.008999
33,8.343514,0.2170554,-1.015419,-1.764794,6.565753,1.629481,-1.555762,0.101585,3.293633,26.1142,3.213092,-1.1245,-2.303578,-0.9196281,0.01789037,-0.4324563,3.259225,0.64052,0.4806019,-3.512481,0.7178732,-0.2589826,26.08453,0.7396045,1.156464
34,7.130177,0.5003157,-1.456497,-2.337078,4.737482,0.9853174,-0.9156311,1.905222,4.390689,27.96452,2.250534,-1.312229,-1.963418,-0.1835825,-0.1466933,-2.556315,1.914137,2.691413,0.7700143,-2.518686,-1.057118,0.983192,22.51266,0.6684464,1.367729
35,8.351538,0.8534098,-1.325677,-1.281914,6.321587,0.4277666,-3.093326,0.7282985,3.819443,25.17246,3.185138,-0.7661949,-2.035673,-0.4806289,-0.4343523,-1.343415,3.749749,0.4313497,-0.2424423,-2.454756,-0.3245285,-1.134827,22.01018,0.02281797,-0.869279
36,9.770377,1.244901,-0.4776034,-2.798811,6.055017,-0.01318965,-2.053842,2.222461,3.758118,26.13704,1.687366,-2.485012,0.4657186,-0.5428041,0.3446229,-1.487702,2.85339,1.197054,1.857667,-0.932315,0.3989953,-1.617505,22.86941,-0.4078442,-0.678325
37,9.242967,0.6099455,-1.805289,-2.334283,7.600138,1.6348,-1.116199,2.85782,5.359976,25.93641,2.723469,-1.560154,-0.6421898,-1.301534,0.3277594,-2.435088,2.408862,3.34667,1.308546,-0.5912805,-1.302878,-1.500932,22.25922,1.103353,1.373218
38,5.984322,-0.6369744,-2.733148,-6.780462,7.151878,-1.498329,-1.121564,2.551338,4.607165,27.86125,0.7579394,-1.295016,0.08274845,-0.7233522,-2.52207,-1.649964,2.694962,-0.1626754,-1.226164,-3.565944,0.08103961,-0.6640592,19.64546,1.610357,1.324003
39,9.028482,-0.7281905,-1.020521,-3.283308,6.441678,-0.4880841,-3.38625,0.8705134,5.265493,29.57547,0.0872862,0.9680858,-1.139263,0.6131425,-0.3372175,-2.247948,5.062362,-2.040864,-1.051335,-2.455277,1.142861,-0.3441275,17.88517,-0.6167298,-0.4927675
40,9.71895,6.161362,-0.3461539,-2.408622,10.95542,3.248271,-0.4333658,4.952701,3.877529,27.48562,0.7765403,1.774867,-0.8407087,3.920955,-0.6522268,-2.075751,6.170592,-1.357557,0.9622295,2.173598,-1.198917,-1.783371,17.92826,-2.533672,-1.654846
41,6.368102,3.963834,-0.3623777,-3.036647,9.609748,3.529863,-1.621606,2.638108,1.957652,28.63863,1.047019,0.5666581,-2.02546,1.89557,0.8858474,-3.501265,3.616363,0.7329511,0.2153824,1.273676,-0.143354,-1.489345,15.37815,-2.206174,0.4674957
42,8.453393,2.426367,-1.582857,-3.147553,5.404714,0.7936481,-0.202792,1.315279,2.130279,28.63188,1.25363,-0.4111425,-2.335701,0.2656209,1.804295,-2.694745,0.8846223,1.917589,1.761158,1.348181,-1.23253,0.4838668,15.56527,-0.193423,2.235234
43,5.529034,1.63898,-1.891283,-3.530608,8.656101,0.5606068,-1.495774,-0.9908872,3.489068,27.20565,1.06147,-1.934552,-0.9374827,-1.758005,0.0850127,-2.856277,0.7767078,2.45313,0.9947457,2.820638,0.2323175,0.1892207,19.42553,1.993014,2.056255
44,5.271591,4.674292,-0.3062319,-2.236588,7.284907,1.49829,-1.541972,-0.5828449,2.821151,26.51951,1.648818,-1.857191,-2.348743,-0.05660833,-1.596898,-3.922227,2.895401,5.901839,2.22665,2.100114,-1.076112,3.20805,22.61417,3.274119,5.658153
45,7.146648,6.510016,-1.780815,-3.372218,7.124061,0.6344848,-0.8180823,-0.6207488,1.199241,25.56649,2.900057,-2.723102,-1.163216,-1.281132,-0.958774,-3.426625,2.076453,4.120765,2.330005,0.4752404,-0.150181,1.536315,21.72016,1.58315,2.328318
46,6.828086,9.163857,-0.4141513,-1.400717,6.907141,1.126601,1.265091,-1.151521,3.043586,25.63963,3.534832,-1.335089,-0.8855764,-0.237211,-2.565197,-3.698512,2.920753,4.012133,0.9945925,2.397678,-0.6416859,1.824713,20.42577,1.598982,3.051162
47,7.785144,10.77445,-2.594163,-3.273121,10.21774,0.7849088,-2.466875,-0.1156112,1.731283,25.77938,4.474784,-1.37593,-0.04672162,1.264796,0.700574,-2.82851,0.06996339,2.863221,1.216835,1.749375,-0.486027,-0.5962033,19.94101,1.019276,1.720583
48,8.909917,12.03958,-1.570258,-3.144091,9.02721,0.7748443,0.4882522,1.943064,4.534908,26.79531,3.174611,-0.8008771,-0.4087827,0.3899041,0.4771805,-2.908134,1.83014,2.683272,1.08925,1.475819,0.5323789,1.182367,20.81988,-0.151281,2.793679
49,8.694476,12.08247,-0.7601267,-2.112848,10.25375,0.3104942,-1.571797,2.298796,3.135975,25.38261,3.385204,-0.7504628,0.3876495,-0.0692876,-0.4673881,-2.994473,2.820832,2.861973,1.725697,1.388597,0.5108783,0.7291382,19.45155,0.4012333,2.714197
50,7.588729,12.66286,0.2655084,-3.631815,10.07456,2.904333,-0.2568003,1.165482,1.65522,23.72929,4.091785,-0.235415,-0.6410283,-1.218535,-0.1188439,-3.552605,3.62224,3.258912,3.166167,2.698296,-0.4684324,0.8685773,18.70037,1.075354,3.240083
51,6.994224,14.19332,-0.8093359,0.115484,9.390662,2.509825,-0.7381581,1.602864,1.306273,22.70657,2.697743,-0.8024939,-1.848014,-0.1403135,-0.2493253,-1.292371,3.574495,4.739525,3.349137,-0.05669318,-0.1370817,0.09683695,19.54286,-0.8094329,3.927752
52,7.266254,11.92755,-2.764115,-4.966552,9.470325,0.7130511,-2.234321,1.395385,3.254461,26.40376,0.385789,-1.666354,-1.569453,-1.631733,-0.9784809,-2.222671,1.608693,4.074532,0.9890376,-2.315291,0.02474624,1.37698,19.60478,1.6724,4.241495
53,8.251493,11.29689,-0.6579263,-1.993053,10.29311,1.612829,-1.673226,1.447734,2.285905,23.14145,0.8838529,-1.872529,0.4347087,-2.563768,-1.040499,-1.970613,3.072752,2.983256,2.503537,0.9533704,0.8159987,0.6005508,17.89004,-1.01381,3.219835
54,7.807278,10.6664,-1.410345,-4.100786,9.706195,-0.3258691,-2.323158,1.662825,3.635208,24.45497,3.524093,-0.2230491,-0.5668904,-1.039022,0.5052904,-2.070421,1.747711,3.190209,0.7107218,-0.2336398,0.1483978,1.352009,17.70346,0.0205553,1.474012
55,5.709733,13.96169,4.672245,-4.521034,10.81848,-0.3459027,-1.021737,-0.1737515,2.552196,23.80833,3.630914,-1.701646,-3.372575,-1.199389,0.5820189,-1.407861,4.067945,3.586339,2.376441,-1.366578,-0.01389657,-0.05642916,18.63034,-0.6706025,2.19134
56,4.979134,11.76916,3.892249,-2.755363,11.3766,-1.616499,-2.292588,0.3892602,2.131375,22.39514,3.367554,-3.241996,-0.7639645,-3.066236,2.068076,-1.086015,3.255788,2.321913,2.316778,-0.7878647,0.03599682,0.7214339,20.20539,0.3953084,1.079707
57,6.865024,11.70098,0.6736991,-0.9951537,7.891371,0.9547882,-0.992058,0.09713671,4.653322,22.71442,3.517664,-2.24058,-1.929123,-0.9484986,-0.2755502,-2.718802,2.527727,4.801201,2.37862,-0.2156055,0.1298971,0.4729078,26.42302,-0.9730505,2.566222
58,5.129651,10.73726,1.688797,1.104119,5.513124,4.682655,-1.903712,-1.400958,5.248452,22.16557,0.9990846,-2.226364,-1.14678,1.447413,-0.7749515,-2.394608,3.801126,7.949104,6.173242,1.314538,2.315455,4.231123,31.6194,-0.6937281,6.456017
59,6.197601,10.36703,0.04427555,2.526589,2.805822,4.192531,-2.285,-1.508209,2.563553,19.63483,3.600118,0.1040463,-0.7159855,4.783421,-0.55579,-2.926302,2.320793,10.43177,5.855164,0.6594102,1.722063,4.761553,29.518,-1.286974,6.963091
60,5.425724,10.4323,-0.5560773,0.09060552,4.169844,2.799797,-0.8746219,-0.6201208,2.00367,21.76478,3.698465,-1.053219,-1.915743,2.008895,-0.4194807,-1.151381,0.6711941,9.321481,4.721227,-0.4857885,1.857438,-0.7807931,30.40987,-1.120659,6.001962
61,6.042521,9.836825,-0.3363176,-1.282965,7.022368,2.083338,-1.324305,0.4532786,2.860659,24.02988,3.63854,-1.486245,-2.442103,-0.8714378,0.1264793,-2.225936,2.776769,4.370249,3.43975,-1.069715,0.1045608,0.9143756,25.37434,-1.473731,2.563778
62,7.834805,8.322408,-0.3244702,-3.113061,6.701938,-0.07648638,-0.8923671,0.6578469,4.566025,23.20101,2.591998,-1.754424,-0.345107,-0.2312936,-1.947204,-1.3585,5.469086,3.906968,2.177536,-0.8369253,-0.3025171,0.8105229,22.60136,0.896429,2.615734
63,6.799644,9.258679,-1.745586,-1.270259,6.055707,1.593122,-1.960922,-0.4142169,3.267475,23.30097,4.095312,-2.46134,-2.233883,-0.9736892,-0.2659486,-2.063201,3.641301,3.905301,2.903353,-1.451532,0.5480327,1.64083,24.04325,0.7584712,4.4957
