"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"1575.348","16","Variable Event","trial_withinsession_counter","","12","1","Value","14",,,,,,,,
"1575.348","16","Variable Event","BigRew_free_counter","","12","1","Value","43",,,,,,,,
"1575.348","16","Variable Event","FreeTrials_counter","","12","1","Value","49",,,,,,,,
"1575.348","21","Group Change Event","Group Change","","12","1","New Group","14",,,,,,,,
"1575.348","1","Condition Event","Don't Pulse Shock","","14","0",,,,,,,,,,
"1575.348","21","Group Change Event","Group Change","","14","1","New Group","17",,,,,,,,
"1575.517","31","Touch Up Event","Bussey Mouse Operant Mode 2 x 1 x low","","17","2","Position","0","(NoImageOrVideo)","-1",,,,,,
"1575.684","30","Touch Down Event","Bussey Mouse Operant Mode 2 x 1 x low","","17","2","Position","0","(NoImageOrVideo)","-1",,,,,,
"1575.922","31","Touch Up Event","Bussey Mouse Operant Mode 2 x 1 x low","","17","2","Position","0","(NoImageOrVideo)","-1",,,,,,
"1576.847","38","Input Transition On Event","Tray #1","","17","0",,,,,,,,,,
"1576.848","1","Condition Event","Reward Retrieved Free Choice","","17","0",,,,,,,,,,
"1576.848","4","Output Off Event","TrayLight #1","","17","0",,,,,,,,,,
"1576.848","29","Timer Event","ITI_timer","","17","1","Value","0",,,,,,,,
"1576.848","21","Group Change Event","Group Change","","17","1","New Group","21",,,,,,,,
"1580.085","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1584.848","1","Condition Event","ITI (regular)","","21","0",,,,,,,,,,
"1584.848","16","Variable Event","ITI_timer","","21","1","Value","8",,,,,,,,
"1584.848","16","Variable Event","ITI_timer","","21","1","Value","0",,,,,,,,
"1584.848","21","Group Change Event","Group Change","","21","1","New Group","2",,,,,,,,
"1584.849","1","Condition Event","If not End of Expt","","2","0",,,,,,,,,,
"1584.849","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1584.849","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1584.849","1","Condition Event","If not End of Expt., turns on TrayLight","","2","0",,,,,,,,,,
"1584.849","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1584.849","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1584.849","21","Group Change Event","Group Change","","2","1","New Group","3",,,,,,,,
"1584.849","1","Condition Event","Define Session3","","3","0",,,,,,,,,,
"1584.849","16","Variable Event","Session3","","3","1","Value","1",,,,,,,,
"1584.849","16","Variable Event","Session1","","3","1","Value","0",,,,,,,,
"1584.849","16","Variable Event","Session2","","3","1","Value","0",,,,,,,,
"1584.849","16","Variable Event","Session4","","3","1","Value","0",,,,,,,,
"1584.849","16","Variable Event","Session5","","3","1","Value","0",,,,,,,,
"1584.849","21","Group Change Event","Group Change","","3","1","New Group","4",,,,,,,,
"1584.849","1","Condition Event","Are we in Free_Choice Trials","","4","0",,,,,,,,,,
"1584.849","16","Variable Event","FreeChoice_trials","","4","1","Value","1",,,,,,,,
"1584.849","21","Group Change Event","Group Change","","4","1","New Group","10",,,,,,,,
"1588.178","38","Input Transition On Event","Tray #1","","10","0",,,,,,,,,,
"1588.179","1","Condition Event","Free-Choice Trials begin","","10","0",,,,,,,,,,
"1588.179","4","Output Off Event","TrayLight #1","","10","0",,,,,,,,,,
"1588.179","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","10","2","Position","1","Image 1","0",,,,,,
"1588.179","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","10","2","Position","2","Image 1","0",,,,,,
"1588.179","29","Timer Event","Presentation_timer","","10","1","Value","0",,,,,,,,
"1588.179","21","Group Change Event","Group Change","","10","1","New Group","12",,,,,,,,
"1588.238","39","Input Transition Off Event","Tray #1","","12","0",,,,,,,,,,
